Ref,Val,Package,PosX,PosY,Rot,Side
"R14","4K7","R_0805_2012Metric",71.4000,-92.0875,-90.0000,top
"R15","4K7","R_0805_2012Metric",73.3000,-93.2875,-90.0000,top
"R16","10K","R_0805_2012Metric",56.6125,-95.1500,90.0000,top
"R17","10K","R_0805_2012Metric",72.3500,-97.0875,180.0000,top
"R18","10K","R_0805_2012Metric",59.9625,-97.8000,0.0000,top
"R19","10K","R_0805_2012Metric",72.4000,-99.1875,0.0000,top
"R20","10K","R_0805_2012Metric",49.3500,-99.8000,90.0000,top
"R21","100K","R_0805_2012Metric",34.1500,-106.6075,0.0000,top
"R22","100K","R_0805_2012Metric",46.9900,-106.6000,0.0000,top
"R23","100K","R_0805_2012Metric",49.9750,-107.3450,90.0000,top
"R24","2K2","R_0805_2012Metric",65.3039,-107.6771,180.0000,top
"R25","20K","R_0805_2012Metric",72.1500,-109.9500,90.0000,top
"R26","12K","R_0805_2012Metric",68.2500,-110.3500,90.0000,top
"R27","10R","R_0805_2012Metric",74.8000,-115.2000,0.0000,top
"SW1","SW_Push","SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010",110.5040,-56.0000,90.0000,top
"U1","USBLC6-2SC6","SOT-23-6",101.8794,-34.1415,0.0000,top
"U2","74AHCT1G125","SOT-23-5",101.3500,-47.5375,0.0000,top
"U3","ASM1061","QFN50P700X700X90-49N-D",37.5000,-61.0000,-45.0000,top
"U4","74AHCT1G32","SOT-23-5",59.6125,-95.1500,180.0000,top
"U5","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",67.9500,-96.9875,90.0000,top
"U6","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",55.7100,-105.9600,90.0000,top
"U7","AP64501SP-13","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias",76.8000,-111.5191,180.0000,top
"Y1","25MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",41.7182,-66.5240,45.0000,top
